duration,protocol,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,count,srv_count,label
0.01,TCP,88,234,REJ,0,0,0,58,97,BENIGN
1.69,TCP,305,495,SF,0,0,0,34,26,Botnet
1.23,ICMP,588,284,RSTO,0,0,0,75,75,BruteForce
1.31,TCP,746,312,S0,0,0,0,92,7,BruteForce
1.48,ICMP,208,1066,REJ,0,0,0,72,38,Botnet
0.08,TCP,236,289,SF,0,0,0,24,38,DoS
0.44,UDP,537,143,RSTO,0,0,0,74,25,BENIGN
0.12,UDP,231,352,SF,0,0,0,79,52,DoS
1.99,TCP,218,323,S0,0,1,0,63,56,BENIGN
0.98,UDP,706,4,S0,0,0,0,39,50,BENIGN
0.4,UDP,468,188,REJ,0,0,0,21,72,BENIGN
0.07,UDP,719,407,S0,0,0,1,36,58,PortScan
0.37,ICMP,73,207,S0,0,1,0,48,92,BENIGN
0.39,TCP,222,453,REJ,0,0,0,84,6,BENIGN
1.31,TCP,554,179,SF,1,0,0,13,29,BENIGN
1.01,TCP,35,1228,REJ,0,0,1,2,67,BENIGN
2.18,UDP,474,103,REJ,0,0,0,27,36,BENIGN
0.64,ICMP,60,28,RSTO,0,0,1,7,6,PortScan
0.13,TCP,495,168,S0,0,0,0,90,1,BENIGN
1.25,UDP,284,234,S0,0,0,0,94,79,BENIGN
1.43,ICMP,64,128,SF,0,0,0,19,29,BENIGN
0.82,ICMP,192,83,S0,0,0,0,40,79,DoS
1.47,TCP,343,334,SF,0,0,0,21,12,BENIGN
0.68,TCP,301,142,RSTO,0,0,0,58,56,BENIGN
0.74,UDP,167,299,SF,0,0,1,26,6,BENIGN
0.56,TCP,688,452,SF,0,0,0,74,59,BruteForce
0.03,UDP,219,429,RSTO,0,0,0,36,52,BENIGN
0.11,ICMP,211,141,REJ,0,0,0,44,37,Botnet
0.03,ICMP,19,251,RSTO,0,0,0,64,71,BENIGN
1.01,ICMP,765,179,S0,0,1,0,27,42,BruteForce
0.38,ICMP,58,613,S0,0,0,0,8,39,BENIGN
0.71,TCP,225,632,RSTO,0,0,0,90,39,BENIGN
2.38,TCP,488,126,SF,0,0,0,1,55,Botnet
0.29,UDP,72,28,RSTO,0,0,0,23,46,BENIGN
0.53,UDP,224,55,S0,0,0,0,73,68,PortScan
1.41,UDP,82,137,RSTO,0,1,0,31,53,BENIGN
0.26,UDP,427,249,SF,0,0,0,7,61,BENIGN
0.08,UDP,249,320,S0,0,0,0,9,10,BENIGN
0.34,ICMP,581,120,REJ,0,0,0,71,77,BENIGN
0.18,ICMP,674,330,RSTO,0,0,0,92,7,BENIGN
2.65,ICMP,313,832,RSTO,0,0,0,98,35,BENIGN
1.65,UDP,387,316,RSTO,0,0,0,53,69,BENIGN
1.0,ICMP,239,51,RSTO,0,0,1,16,82,BENIGN
2.05,ICMP,145,260,S0,0,0,0,74,7,BENIGN
1.63,ICMP,313,234,SF,0,0,0,24,38,BENIGN
0.21,ICMP,716,613,REJ,0,0,0,74,8,BENIGN
2.23,TCP,161,129,RSTO,0,1,0,46,43,BENIGN
0.78,UDP,113,164,S0,0,0,0,29,42,BENIGN
1.65,UDP,147,273,RSTO,0,0,0,89,26,BENIGN
2.26,TCP,171,222,REJ,1,0,0,30,6,BENIGN
0.38,ICMP,22,380,RSTO,0,0,0,51,82,BENIGN
0.12,ICMP,207,12,SF,0,1,1,83,58,Infiltration
0.26,ICMP,204,248,RSTO,0,0,0,31,10,BENIGN
0.56,UDP,266,38,RSTO,0,0,0,30,73,BruteForce
1.7,UDP,135,113,RSTO,0,0,0,34,12,BENIGN
1.97,UDP,284,325,SF,0,0,0,92,29,BENIGN
0.01,UDP,631,51,S0,0,0,0,19,21,DoS
0.71,UDP,933,110,SF,0,0,0,75,21,BENIGN
0.54,TCP,262,364,S0,0,1,0,28,91,PortScan
0.25,UDP,13,315,SF,0,1,0,6,42,BENIGN
0.13,ICMP,1044,28,SF,0,0,0,17,76,BENIGN
0.41,UDP,367,258,RSTO,0,0,0,91,29,BENIGN
2.86,TCP,122,47,SF,0,0,0,36,90,BENIGN
0.39,ICMP,47,87,S0,0,0,0,1,90,BENIGN
0.73,TCP,46,184,S0,0,1,0,16,92,BENIGN
1.21,ICMP,55,34,S0,0,0,0,68,14,Botnet
0.45,UDP,13,1517,S0,0,0,0,47,25,BENIGN
3.57,TCP,697,54,SF,0,0,0,23,39,BENIGN
3.28,ICMP,233,456,RSTO,0,0,0,96,59,BENIGN
0.29,UDP,361,531,REJ,0,0,0,67,72,BENIGN
0.69,ICMP,528,1558,S0,0,0,0,62,62,BENIGN
0.36,TCP,470,167,SF,0,1,0,85,79,BENIGN
0.34,TCP,642,621,RSTO,0,1,0,88,27,BENIGN
0.04,TCP,1025,947,SF,0,0,0,15,99,BENIGN
0.94,TCP,173,56,S0,0,0,0,75,5,DoS
0.7,UDP,900,195,S0,0,1,1,67,4,PortScan
0.05,ICMP,385,18,RSTO,0,0,0,83,52,DoS
0.33,UDP,21,290,SF,0,0,0,43,85,BENIGN
2.39,TCP,343,261,S0,0,1,0,8,84,BENIGN
0.27,ICMP,348,68,S0,0,0,0,98,6,Botnet
0.16,TCP,708,479,REJ,0,0,0,98,29,DoS
0.67,UDP,140,11,REJ,0,0,0,44,55,DoS
4.24,UDP,263,492,S0,0,0,0,26,67,BENIGN
0.28,UDP,3,8,REJ,0,1,0,67,36,BENIGN
1.12,ICMP,121,320,REJ,1,0,0,32,17,BENIGN
1.43,ICMP,19,24,S0,0,0,0,64,37,BENIGN
0.27,TCP,221,86,SF,0,0,0,43,49,BENIGN
1.3,ICMP,510,383,SF,0,0,0,74,89,BENIGN
0.46,ICMP,69,98,SF,0,0,0,74,99,BENIGN
1.0,UDP,224,214,RSTO,0,0,0,62,64,PortScan
1.0,TCP,68,740,SF,0,0,0,11,57,BENIGN
0.77,UDP,38,15,RSTO,0,0,0,78,21,BENIGN
0.09,TCP,214,499,RSTO,0,0,1,95,66,DoS
1.8,TCP,24,20,REJ,0,0,0,9,11,BENIGN
0.39,ICMP,265,40,RSTO,0,0,0,48,17,BENIGN
0.21,UDP,9,38,RSTO,0,0,0,6,61,BENIGN
0.04,ICMP,33,1539,RSTO,0,0,0,54,95,BENIGN
0.89,ICMP,239,59,RSTO,0,0,0,62,83,BENIGN
1.13,ICMP,268,681,REJ,0,0,0,54,29,Botnet
0.02,TCP,8,1410,S0,1,0,0,99,77,BENIGN
0.72,UDP,255,145,RSTO,0,0,1,98,21,PortScan
0.26,UDP,546,299,S0,0,0,0,56,69,BENIGN
1.04,ICMP,384,453,SF,0,1,0,82,51,Infiltration
0.19,TCP,42,149,SF,0,0,0,87,28,BENIGN
1.17,UDP,269,52,S0,0,0,0,30,15,BENIGN
0.49,UDP,334,170,S0,0,0,0,3,91,PortScan
2.76,ICMP,11,443,SF,0,0,0,61,4,BENIGN
0.15,TCP,580,455,REJ,0,0,0,15,38,BENIGN
0.42,ICMP,710,78,REJ,0,0,0,3,67,BENIGN
0.12,UDP,570,57,RSTO,0,0,0,15,29,BENIGN
2.59,TCP,522,759,REJ,0,0,0,67,11,PortScan
2.1,ICMP,409,13,REJ,0,0,0,29,51,BENIGN
0.3,UDP,301,398,RSTO,0,1,0,31,36,BruteForce
1.08,ICMP,340,14,RSTO,0,0,0,71,91,Infiltration
1.7,ICMP,492,545,REJ,0,0,0,71,99,BENIGN
0.81,ICMP,325,707,S0,0,1,0,55,57,BENIGN
0.75,TCP,119,105,RSTO,0,0,0,75,5,Infiltration
0.28,UDP,141,23,S0,0,0,0,92,16,BENIGN
0.1,UDP,682,196,SF,0,0,0,43,85,BENIGN
2.28,UDP,5,106,RSTO,0,1,0,25,25,BENIGN
2.31,UDP,360,161,S0,0,0,1,81,30,BENIGN
1.0,TCP,928,328,RSTO,0,0,0,55,51,PortScan
0.41,ICMP,367,70,RSTO,0,0,0,50,3,BENIGN
0.43,UDP,1530,132,RSTO,0,0,0,38,37,BENIGN
1.29,TCP,348,457,RSTO,0,0,0,60,71,BENIGN
2.27,ICMP,10,309,S0,0,0,0,85,3,BENIGN
2.18,TCP,526,118,S0,0,0,0,52,58,BENIGN
1.51,TCP,100,327,S0,0,0,0,84,72,BENIGN
1.03,UDP,177,434,SF,0,0,0,74,21,BENIGN
0.09,UDP,112,269,RSTO,0,0,0,70,18,BENIGN
0.18,ICMP,93,82,RSTO,0,0,0,76,58,DoS
2.29,ICMP,169,0,S0,0,0,0,81,10,BENIGN
0.93,UDP,142,487,S0,0,0,0,45,20,BENIGN
0.01,TCP,300,518,RSTO,0,1,0,97,40,BENIGN
0.11,UDP,503,358,RSTO,0,0,0,19,29,BENIGN
1.09,ICMP,105,23,SF,0,0,0,5,94,BENIGN
0.01,TCP,72,264,RSTO,0,0,0,42,36,BENIGN
0.18,TCP,329,516,S0,0,0,2,93,32,BENIGN
0.8,TCP,332,148,SF,0,0,0,30,70,DoS
1.18,UDP,694,66,REJ,0,1,0,65,19,DoS
1.06,UDP,4,265,REJ,0,0,0,76,95,DoS
0.25,ICMP,575,525,RSTO,0,0,0,79,97,BENIGN
1.25,TCP,220,15,S0,0,0,0,5,68,BENIGN
0.27,TCP,291,272,RSTO,0,1,0,38,75,BENIGN
0.39,UDP,28,309,S0,0,0,0,11,70,PortScan
1.37,ICMP,170,276,S0,0,1,1,84,12,BENIGN
1.05,ICMP,77,314,S0,0,0,0,29,37,BruteForce
1.89,TCP,87,299,REJ,0,1,1,14,46,BENIGN
1.07,UDP,210,41,RSTO,0,1,0,90,31,BENIGN
0.84,TCP,502,80,RSTO,0,0,0,98,17,BENIGN
0.1,UDP,408,289,REJ,0,0,0,74,4,PortScan
0.46,ICMP,268,5,S0,0,1,0,91,15,BENIGN
0.31,TCP,232,302,SF,0,0,0,89,45,BENIGN
0.28,TCP,167,328,SF,0,1,0,10,12,BENIGN
3.61,TCP,1080,82,REJ,0,1,0,39,74,BENIGN
0.5,ICMP,246,273,SF,0,0,0,60,6,BENIGN
2.23,TCP,87,229,S0,0,1,0,96,22,BENIGN
1.0,ICMP,78,90,S0,0,1,0,98,62,BENIGN
1.58,UDP,283,186,RSTO,0,1,1,23,41,BENIGN
0.7,ICMP,221,721,S0,0,0,0,97,95,DoS
0.86,UDP,2,166,S0,0,0,0,96,16,BENIGN
0.68,ICMP,531,298,S0,0,1,0,22,72,BENIGN
0.22,ICMP,365,10,SF,0,0,0,86,46,BruteForce
1.28,TCP,325,24,SF,0,0,0,87,62,BENIGN
0.33,ICMP,21,25,REJ,0,0,0,83,58,BENIGN
0.02,TCP,134,451,REJ,0,0,0,23,36,DoS
1.04,UDP,821,129,SF,0,0,0,22,3,BENIGN
0.19,UDP,595,77,RSTO,0,0,0,62,29,DoS
2.82,TCP,100,412,RSTO,0,1,0,94,3,BENIGN
3.08,UDP,51,55,SF,0,0,0,19,51,BENIGN
2.46,ICMP,178,84,REJ,0,0,0,22,10,BENIGN
0.46,TCP,131,169,RSTO,0,1,0,1,46,BENIGN
0.02,TCP,343,120,S0,0,0,0,34,96,Botnet
2.64,TCP,1018,264,RSTO,0,0,0,26,85,PortScan
0.56,UDP,135,123,RSTO,0,0,0,4,6,BENIGN
3.4,UDP,19,149,RSTO,0,0,0,48,32,BENIGN
3.31,ICMP,683,596,REJ,0,0,0,45,92,BENIGN
1.92,ICMP,11,647,REJ,0,0,0,12,68,BENIGN
0.35,TCP,915,527,SF,0,0,0,92,94,BENIGN
0.49,ICMP,327,600,RSTO,0,0,0,37,61,BENIGN
1.9,UDP,852,253,REJ,0,0,1,3,81,BENIGN
0.38,ICMP,66,311,REJ,0,0,0,28,64,BENIGN
0.19,UDP,12,244,SF,0,0,1,93,64,BENIGN
0.81,ICMP,200,461,S0,0,1,0,84,92,Infiltration
2.75,UDP,179,240,S0,0,0,0,2,39,BENIGN
1.19,UDP,120,35,RSTO,0,0,0,56,74,BENIGN
0.84,ICMP,948,497,S0,0,0,0,65,1,BENIGN
0.1,ICMP,518,428,SF,0,0,0,46,51,BENIGN
0.95,UDP,325,514,REJ,0,0,1,44,95,PortScan
4.61,TCP,53,63,S0,0,0,0,18,96,BENIGN
0.15,ICMP,397,95,RSTO,0,0,0,73,54,PortScan
0.73,UDP,389,105,RSTO,0,0,0,37,20,BENIGN
2.1,ICMP,166,212,REJ,0,0,0,54,93,BENIGN
1.35,ICMP,776,43,RSTO,0,0,0,25,37,BENIGN
1.19,ICMP,54,146,SF,0,0,0,83,58,BENIGN
1.21,ICMP,93,60,S0,0,0,0,62,89,DoS
0.45,ICMP,19,92,RSTO,0,0,0,25,1,PortScan
0.35,TCP,476,367,S0,0,0,0,52,54,BENIGN
1.66,TCP,291,578,REJ,0,0,0,63,79,Botnet
1.66,TCP,113,6,S0,0,0,0,15,98,DoS
2.02,UDP,53,250,SF,0,0,0,46,87,PortScan
2.44,TCP,12,11,REJ,0,0,0,56,93,BENIGN
0.72,TCP,54,26,RSTO,0,1,0,26,13,PortScan
0.7,UDP,181,366,REJ,0,0,0,64,2,Infiltration
1.6,TCP,85,399,S0,0,0,0,20,40,PortScan
1.05,ICMP,89,504,S0,0,0,0,67,56,BENIGN
1.21,TCP,625,192,S0,0,0,0,25,69,BENIGN
1.59,TCP,217,589,S0,0,0,1,21,22,BENIGN
2.21,TCP,391,54,REJ,0,0,0,34,59,BENIGN
0.41,ICMP,10,86,REJ,0,0,0,88,55,DoS
0.47,ICMP,136,43,S0,0,0,0,25,15,BENIGN
0.1,ICMP,195,479,RSTO,1,1,1,65,77,BENIGN
0.86,ICMP,61,77,REJ,0,1,0,29,30,BENIGN
0.04,UDP,38,50,SF,0,0,0,32,25,BENIGN
0.63,ICMP,612,292,REJ,0,0,0,1,85,BENIGN
0.78,ICMP,841,24,SF,0,1,0,35,81,BENIGN
0.34,ICMP,24,13,RSTO,0,0,0,56,39,BENIGN
0.89,ICMP,128,33,SF,0,0,0,16,34,BENIGN
0.03,UDP,953,0,SF,0,0,0,32,98,DoS
0.04,TCP,26,358,RSTO,0,0,0,79,49,BENIGN
1.73,TCP,309,247,S0,0,0,0,5,53,Infiltration
0.45,ICMP,1075,70,REJ,0,0,0,10,38,BENIGN
0.14,ICMP,1148,79,RSTO,0,0,0,86,50,BENIGN
0.74,ICMP,191,499,SF,0,0,0,72,59,BENIGN
1.47,TCP,53,209,S0,0,0,1,79,62,BENIGN
0.24,TCP,67,359,REJ,0,0,0,20,26,Botnet
0.98,ICMP,661,180,RSTO,0,0,1,89,66,BENIGN
0.09,TCP,728,81,REJ,0,1,0,12,98,BENIGN
0.05,UDP,280,1056,S0,0,0,0,90,62,BENIGN
0.76,ICMP,435,250,REJ,0,0,1,68,52,BENIGN
0.78,ICMP,404,42,S0,0,0,0,63,62,PortScan
1.01,UDP,325,156,RSTO,0,1,0,26,98,BENIGN
1.29,UDP,526,119,S0,0,0,0,60,68,PortScan
3.72,TCP,346,72,RSTO,0,1,0,74,75,BruteForce
0.73,UDP,229,812,S0,0,0,1,61,42,PortScan
0.39,ICMP,81,638,REJ,0,1,0,15,13,BENIGN
1.59,TCP,408,66,S0,0,1,0,5,36,BENIGN
0.32,UDP,192,130,S0,0,1,0,32,69,PortScan
0.58,TCP,104,431,REJ,0,0,0,96,75,Botnet
0.08,TCP,485,70,SF,0,0,0,22,27,BENIGN
0.03,TCP,357,268,S0,0,0,0,22,3,BENIGN
3.29,TCP,831,360,RSTO,0,0,0,12,45,DoS
1.81,UDP,54,318,S0,0,0,0,64,92,BENIGN
1.19,ICMP,314,367,SF,0,0,0,75,35,BENIGN
0.53,ICMP,84,367,RSTO,0,0,0,88,37,PortScan
0.19,UDP,701,1004,REJ,1,1,0,80,14,BENIGN
0.17,ICMP,31,127,REJ,0,0,0,16,29,BENIGN
0.29,TCP,320,632,REJ,0,0,0,65,62,PortScan
0.8,TCP,469,6,RSTO,0,0,0,51,81,BENIGN
1.25,TCP,131,101,S0,0,0,0,87,14,BENIGN
1.08,UDP,924,14,RSTO,0,0,0,92,31,BENIGN
0.33,TCP,570,315,RSTO,0,0,0,32,48,BENIGN
3.1,TCP,104,31,SF,0,0,1,53,38,BENIGN
1.34,UDP,2,560,RSTO,0,0,1,3,55,BENIGN
0.81,TCP,105,312,REJ,0,0,0,13,5,BENIGN
0.95,TCP,99,8,RSTO,0,0,0,92,18,BENIGN
0.54,ICMP,662,376,SF,0,0,0,92,82,PortScan
0.28,UDP,1024,594,RSTO,0,0,0,58,15,Botnet
0.44,TCP,21,324,RSTO,0,0,0,45,51,BENIGN
1.42,TCP,191,9,REJ,0,0,0,24,68,BENIGN
0.01,TCP,238,585,RSTO,0,1,0,51,53,BENIGN
0.12,TCP,29,395,S0,0,0,0,13,9,BENIGN
0.05,ICMP,142,142,REJ,0,0,0,24,19,BENIGN
0.04,ICMP,114,119,SF,0,0,0,5,25,PortScan
1.93,ICMP,230,196,SF,0,0,0,81,49,PortScan
1.22,ICMP,324,605,SF,0,0,0,50,84,BENIGN
0.64,UDP,364,87,RSTO,0,1,0,76,78,DoS
0.1,TCP,44,31,S0,0,0,1,49,59,BENIGN
0.68,ICMP,502,599,REJ,0,0,0,18,8,Botnet
0.64,TCP,340,7,S0,0,0,0,33,73,BENIGN
0.19,UDP,659,725,S0,0,0,0,58,21,Infiltration
0.57,TCP,178,109,SF,0,0,0,31,98,BENIGN
0.51,TCP,672,212,SF,1,0,1,34,40,DoS
0.96,ICMP,602,42,S0,0,0,0,94,57,DoS
1.01,ICMP,173,697,S0,1,0,0,96,59,DoS
0.05,UDP,143,415,REJ,0,1,0,74,77,DoS
0.47,TCP,810,773,SF,0,1,0,31,26,BENIGN
0.98,ICMP,376,344,SF,0,0,0,99,42,BENIGN
0.7,ICMP,790,61,RSTO,0,0,0,79,59,BENIGN
1.94,ICMP,478,110,SF,0,0,0,27,30,DoS
1.07,UDP,281,200,REJ,0,0,0,59,47,BENIGN
0.18,TCP,36,280,RSTO,0,0,0,27,61,BENIGN
0.07,ICMP,103,782,REJ,0,0,0,1,84,BENIGN
1.03,TCP,1040,145,SF,0,1,0,76,7,DoS
0.03,UDP,115,364,SF,0,0,0,68,54,BENIGN
0.88,TCP,29,973,S0,0,0,0,23,20,DoS
2.82,ICMP,368,49,S0,0,0,0,98,16,PortScan
0.86,TCP,397,595,REJ,0,1,0,52,2,BENIGN
0.49,TCP,100,163,RSTO,0,0,0,57,10,BENIGN
1.03,UDP,106,395,SF,0,0,0,87,99,BENIGN
0.61,UDP,189,104,S0,0,0,0,51,43,BENIGN
0.79,TCP,6,121,S0,0,0,0,83,28,DoS
2.84,TCP,467,8,SF,0,0,0,84,10,DoS
0.49,TCP,114,1066,SF,0,0,1,63,77,BENIGN
3.25,UDP,576,503,RSTO,0,1,0,84,22,BENIGN
2.36,UDP,486,29,S0,0,0,0,93,34,BENIGN
0.22,TCP,324,2285,RSTO,0,1,0,77,16,BENIGN
0.07,UDP,117,278,RSTO,0,0,0,28,72,BENIGN
0.11,ICMP,217,576,SF,0,0,0,24,84,BENIGN
0.02,UDP,176,20,RSTO,0,0,0,22,74,BENIGN
0.1,UDP,124,148,SF,0,0,0,86,55,BruteForce
1.15,UDP,565,332,REJ,0,0,0,40,64,BENIGN
0.07,ICMP,198,33,RSTO,0,0,0,75,93,DoS
0.38,ICMP,536,201,S0,1,0,0,8,53,PortScan
1.86,ICMP,33,175,S0,0,0,0,96,42,BENIGN
0.02,TCP,45,73,REJ,0,0,0,88,30,BENIGN
1.68,TCP,1135,107,REJ,0,0,0,12,60,Botnet
0.33,ICMP,265,1024,RSTO,0,0,0,49,88,BENIGN
0.13,TCP,213,102,S0,0,0,0,21,2,BENIGN
1.19,TCP,222,72,S0,0,0,0,67,34,BENIGN
0.99,TCP,72,230,SF,0,0,0,39,42,BENIGN
2.1,ICMP,380,333,SF,0,0,0,62,21,Infiltration
1.33,UDP,26,387,S0,0,0,0,82,34,PortScan
1.63,ICMP,255,421,SF,0,0,0,58,32,BENIGN
0.33,ICMP,253,11,SF,0,0,0,62,30,BENIGN
0.2,TCP,736,150,SF,0,0,0,70,64,BENIGN
1.39,TCP,224,446,REJ,0,0,0,36,78,BENIGN
1.64,UDP,44,705,S0,1,0,0,45,19,BENIGN
4.66,UDP,255,276,S0,0,1,0,79,30,Botnet
0.53,UDP,28,16,S0,0,2,0,15,58,BENIGN
0.47,UDP,68,151,SF,0,0,0,62,41,BruteForce
1.5,ICMP,9,23,RSTO,0,0,0,38,27,BENIGN
0.42,UDP,216,414,RSTO,0,1,0,64,16,BENIGN
2.67,ICMP,26,19,SF,0,0,1,88,25,Botnet
1.95,TCP,190,61,REJ,0,1,0,71,89,BENIGN
0.56,UDP,810,161,REJ,0,0,0,9,88,BENIGN
1.39,TCP,381,186,S0,0,0,0,75,61,BENIGN
1.4,TCP,24,156,RSTO,0,2,0,80,67,BENIGN
0.11,ICMP,76,186,REJ,1,1,0,71,88,PortScan
2.33,UDP,335,374,RSTO,0,0,0,25,11,BENIGN
0.7,ICMP,675,138,RSTO,0,0,0,78,32,BENIGN
1.75,TCP,10,238,REJ,0,0,0,65,87,BENIGN
0.39,UDP,502,108,SF,0,0,0,20,76,PortScan
2.26,TCP,247,130,S0,0,0,0,28,85,BENIGN
0.49,TCP,236,285,S0,0,0,0,49,37,BENIGN
0.01,UDP,949,202,REJ,0,0,0,34,52,BENIGN
2.36,UDP,413,385,SF,0,0,0,73,34,BruteForce
0.1,UDP,569,246,REJ,0,1,0,20,85,BENIGN
0.38,ICMP,131,488,REJ,0,0,0,95,90,BENIGN
3.0,ICMP,242,175,RSTO,0,0,1,85,50,BENIGN
3.01,TCP,286,202,RSTO,0,1,0,22,34,BENIGN
0.85,UDP,116,332,S0,0,0,0,77,9,BENIGN
1.0,TCP,253,75,RSTO,0,0,0,44,82,BENIGN
0.6,TCP,81,146,RSTO,0,0,0,47,42,DoS
0.35,TCP,46,294,SF,0,0,0,25,39,BENIGN
0.4,TCP,140,8,REJ,0,0,0,22,30,BENIGN
1.12,TCP,403,172,REJ,0,0,0,61,3,DoS
1.4,UDP,743,274,SF,0,1,0,52,2,BENIGN
1.57,ICMP,183,1026,RSTO,0,0,0,20,67,BENIGN
1.56,UDP,308,628,RSTO,0,0,0,96,79,PortScan
0.1,UDP,32,98,REJ,0,0,0,80,67,BENIGN
0.68,UDP,704,212,S0,0,0,0,20,98,DoS
0.06,ICMP,252,17,REJ,0,1,0,86,17,BENIGN
0.8,ICMP,454,82,S0,0,0,0,45,63,DoS
0.58,ICMP,474,447,RSTO,0,0,0,37,3,BENIGN
2.19,UDP,88,39,S0,0,0,0,15,71,BENIGN
0.43,ICMP,225,89,S0,0,0,0,76,95,BENIGN
0.12,TCP,969,864,S0,1,0,0,9,10,BENIGN
0.15,ICMP,28,520,S0,0,1,0,44,99,BENIGN
1.43,UDP,344,456,S0,1,0,0,15,92,BENIGN
0.96,UDP,983,599,REJ,0,0,0,44,55,BENIGN
0.11,TCP,107,415,SF,0,0,0,86,20,BENIGN
0.09,ICMP,592,38,RSTO,0,0,0,12,1,BENIGN
1.21,ICMP,813,218,REJ,0,0,0,27,42,Botnet
